date,x
1/1/1987,1580
4/1/1987,1960
7/1/1987,26230
10/1/1987,8440
1/1/1988,1537
4/1/1988,2823
7/1/1988,26010
10/1/1988,11774
1/1/1989,3150
4/1/1989,2970
7/1/1989,20966
10/1/1989,18444
1/1/1990,1126
4/1/1990,2960
7/1/1990,29853
10/1/1990,20901
1/1/1991,5868
4/1/1991,789
7/1/1991,36720
10/1/1991,8893
1/1/1992,5121
4/1/1992,214
7/1/1992,18558
10/1/1992,11007
1/1/1993,19363
4/1/1993,4549
7/1/1993,26110
10/1/1993,12829
1/1/1994,19345
4/1/1994,8202
7/1/1994,25696
10/1/1994,15633
1/1/1995,12544
4/1/1995,10068
7/1/1995,25039
10/1/1995,29973
1/1/1996,12879
4/1/1996,10668
7/1/1996,18204
10/1/1996,21760
1/1/1997,11468
4/1/1997,10836
7/1/1997,25725
10/1/1997,20369
1/1/1998,6427
4/1/1998,12998.23657
7/1/1998,36093
10/1/1998,21510
1/1/1999,16476
4/1/1999,10704
7/1/1999,17399
10/1/1999,18164
1/1/2000,10668
4/1/2000,9105
7/1/2000,15928
10/1/2000,24558
1/1/2001,10748
4/1/2001,8961
7/1/2001,21216
10/1/2001,21741
1/1/2002,12552
4/1/2002,8406
7/1/2002,19956
10/1/2002,20260
1/1/2003,10776
4/1/2003,12412
7/1/2003,22859
10/1/2003,23386
1/1/2004,6856
4/1/2004,23235
7/1/2004,27262
10/1/2004,27231
1/1/2005,21552
4/1/2005,8383
7/1/2005,46566
10/1/2005,40283
1/1/2006,17747
4/1/2006,31930
7/1/2006,58312
10/1/2006,52441
1/1/2007,10718
4/1/2007,26351
7/1/2007,65739
10/1/2007,34547
1/1/2008,23787
4/1/2008,20616
7/1/2008,38734
10/1/2008,33090
1/1/2009,17042
4/1/2009,24298
7/1/2009,25625
10/1/2009,26298
1/1/2010,17961
4/1/2010,7623
7/1/2010,28413
10/1/2010,23356
1/1/2011,10510
4/1/2011,22855
7/1/2011,21832
10/1/2011,22934
1/1/2012,14788
4/1/2012,22958
7/1/2012,26126
10/1/2012,19204
1/1/2013,16087
4/1/2013,25678
7/1/2013,33896
10/1/2013,34505
1/1/2014,24676
4/1/2014,24655
7/1/2014,40992
10/1/2014,48052
1/1/2015,26876
4/1/2015,8239
7/1/2015,42156
10/1/2015,43052
1/1/2016,19934
4/1/2016,9197
7/1/2016,48403
10/1/2016,28726
1/1/2017,31219
4/1/2017,13636
7/1/2017,48856
10/1/2017,28306
1/1/2018,26728
4/1/2018,21106
7/1/2018,46304.47
10/1/2018,30486
1/1/2019,14940.8
4/1/2019,11718.53
7/1/2019,21119.92
10/1/2019,16990
1/1/2020,16061.62
4/1/2020,12697.37
7/1/2020,20419.05
10/1/2020,18310.85
1/1/2021,18072
4/1/2021,16644.38
7/1/2021,19496
10/1/2021,13500
1/1/2022,22941.67
4/1/2022,17491
